weapon,slot,base,tier
auto,5,1,2
auto_shorty,3,0,3
baseball_bat,4,1,1
berthier,3,1,2
berthier_deadeye,3,0,2
berthier_marksman,3,0,2
berthier_riposte,3,0,2
bomb_lance,3,0,2
bomb_launcher,2,1,1
bornheim,1,1,1
bornheim_extended,1,0,2
bornheim_match,2,0,2
bornheim_silencer,1,0,2
calvary_saber,1,1,1
carbine,3,1,1
carbine_aperture,3,0,1
carbine_silencer,3,0,1
centenial,4,1,3
centenial_pointman,2,0,3
centenial_shorty,2,0,3
centenial_shorty_silencer,2,0,3
centenial_trauma,4,0,3
centennial_sniper,4,0,3
chu_ko_nu,2,1,1
combat_axe,2,1,1
conversion,1,1,1
conversion_chain_pistol,1,0,1
crossbow,4,1,1
crossbow_deadeye,4,0,2
dolch,2,1,2
dolch_bullseye,2,0,2
dolch_claw,2,0,2
dolch_percision,3,0,2
drilling,4,1,3
drilling_hatchet,2,0,3
drilling_shorty,2,0,3
frontier,3,1,1
frontier_marksman,3,0,1
frontier_silencer,3,0,1
hand_crossbow,1,1,1
haymaker,2,1,2
hunting_bow,3,1,2
infantry,4,1,1
infantry_bayonet,4,0,1
infantry_sniper,4,0,1
katana,2,1,1
krag,4,1,3
krag_bayonet,4,0,3
krag_silencer,4,0,3
krag_sniper,4,0,3
lebel,4,1,3
lebel_aperture,4,0,3
lebel_marksman,4,0,3
lebel_talon,4,0,3
lemat,1,1,3
lemat_carbine,3,0,3
lemat_carbine_marksman,3,0,3
machete,1,1,1
mako,4,1,2
mako_aperture,4,0,2
mako_claw,4,0,2
marathon,4,1,1
marathon_swift,4,0,1
martini_henry,4,1,1
martini_henry_deadeye,4,0,1
martini_henry_ironside,4,0,1
martini_henry_marksman,4,0,1
martini_henry_riposte,4,0,1
maynard_sniper,4,1,1
maynard_sniper_silencer,5,0,1
mosin_nagant,4,1,3
mosin_nagant_avtomat,5,0,3
mosin_nagant_bayonet,4,0,3
mosin_nagant_sniper,4,0,3
mosin_obrez,2,1,3
mosin_obrez_extended,2,0,3
mosin_obrez_mace,2,0,3
mosin_obrez_match,3,0,3
mosin_obrez_sharpeye,3,0,3
nagant,1,1,1
nagant_deadeye,2,0,1
nagant_precision,2,0,1
nagant_silencer,1,0,1
new_army,1,1,1
new_army_swift,1,0,1
nitro_express,5,1,2
officer,1,1,2
officer_brawler,1,0,2
officer_carbine,3,0,2
officer_carbine_deadeye,3,0,2
pax,1,1,1
pax_claw,1,0,1
pax_trueshot,1,0,1
railroad_hammer,2,1,1
ranger,4,1,1
ranger_aperture,4,0,1
ranger_swift,4,0,1
ranger_talon,4,0,1
rival,4,1,1
rival_mace,2,0,1
rival_shorty,2,0,1
rival_trauma,4,0,1
romero,4,1,1
romero_alamo,4,0,1
romero_hatchet,2,0,1
romero_shorty,2,0,1
romero_talon,4,0,1
scottfield,1,1,1
scottfield_brawler,1,0,1
scottfield_precision,2,0,1
scottfield_spitfire,1,0,1
scottfield_swift,1,0,1
slate,4,1,3
slate_riposte,4,0,3
sparks,4,1,2
sparks_pistol,1,0,2
sparks_pistol_silencer,1,0,2
sparks_silencer,4,0,2
sparks_sniper,4,0,2
specter,4,1,3
specter_bayonet,4,0,3
specter_shorty,2,0,3
springfield,4,1,1
springfield_bayonet,4,0,1
springfield_bullseye,2,0,1
springfield_marksman,4,0,1
springfield_shorty,2,0,1
springfield_striker,2,0,1
terminus,4,1,1
terminus_shorty,2,0,1
uppercut,2,1,1
uppercut_deadeye,3,0,1
uppercut_precision,3,0,1
vandal,2,1,1
vandal_bullseye,2,0,1
vandal_striker,2,0,1
vetterli,3,1,1
vetterli_bayonet,3,0,1
vetterli_cyclone,4,0,1
vetterli_deadeye,3,0,1
vetterli_marksman,3,0,1
vetterli_silencer,3,0,1
